countryname,countrycode,incomegroup,lmri1,lmri2,lmri3,lmri4,period
"Austria",40,2,1.791759,1.386294,2.197225,2.302585,"1960-64"
"Austria",40,2,4.770685,5.147494,6.807935,5.669881,"1965-69"
"Austria",40,2,5.913503,6.173786,7.970049,6.603944,"1970-74"
"Austria",40,2,6.329721,6.378426,8.32288,7.13966,"1975-79"
"Austria",40,2,6.734591,6.511745,8.462315,7.410347,"1980-84"
"Austria",40,2,7.244942,6.552508,8.438366,7.786967,"1985-89"
"Austria",40,2,7.340187,6.97073,8.584665,7.957528,"1990-94"
"Austria",40,2,7.459915,7.046647,8.783396,8.288283,"1995-99"
"Canada",124,2,0,.6931472,1.791759,.6931472,"1960-64"
"Canada",124,2,5.416101,5.288267,6.706862,6.426488,"1965-69"
"Canada",124,2,6.799056,6.280396,8.096209,7.787382,"1970-74"
"Canada",124,2,7.117206,7.046647,8.584665,8.03301,"1975-79"
"Canada",124,2,7.070724,7.183112,8.660254,8.068716,"1980-84"
"Canada",124,2,6.944087,7.244942,9.149422,8.369389,"1985-89"
"Canada",124,2,7.475906,7.30317,9.644004,8.967122,"1990-94"
"Canada",124,2,7.809947,7.375882,9.838042,9.04935,"1995-99"
"Chile",152,1,0,0,.6931472,.6931472,"1960-64"
"Chile",152,1,0,3.367296,4.955827,4.454347,"1965-69"
"Chile",152,1,3.367296,4.043051,5.537334,4.736198,"1970-74"
"Chile",152,1,5.129899,5.638355,6.665684,5.53339,"1975-79"
"Chile",152,1,5.638355,5.820083,7.204149,5.638355,"1980-84"
"Chile",152,1,6.042633,6.224558,7.843456,7.021976,"1985-89"
"Chile",152,1,6.167517,6.278522,8.160804,7.459915,"1990-94"
"Chile",152,1,6.424869,6.278522,8.245122,7.798523,"1995-99"
"Colombia",170,1,1.386294,0,1.098612,1.94591,"1960-64"
"Colombia",170,1,1.386294,0,4.465908,5.164786,"1965-69"
"Colombia",170,1,1.386294,0,4.744932,5.442418,"1970-74"
"Colombia",170,1,0,0,5.638355,5.733341,"1975-79"
"Colombia",170,1,0,0,5.53339,5.638355,"1980-84"
"Colombia",170,1,5.129899,5.129899,6.767343,6.424869,"1985-89"
"Colombia",170,1,5.899898,5.97381,8.16877,7.663408,"1990-94"
"Colombia",170,1,6.167517,6.278522,8.295299,7.636752,"1995-99"
"Costa Rica",188,1,1.609438,0,1.791759,1.94591,"1960-64"
"Costa Rica",188,1,1.609438,4.043051,4.770685,3.555348,"1965-69"
"Costa Rica",188,1,3.496508,4.94876,5.655992,4.510859,"1970-74"
"Costa Rica",188,1,4.442651,4.94876,6.329721,5.283204,"1975-79"
"Costa Rica",188,1,4.442651,5.129899,6.329721,5.283204,"1980-84"
"Costa Rica",188,1,4.043051,5.733341,6.734591,6.042633,"1985-89"
"Costa Rica",188,1,5.53339,6.424869,7.284135,7.021976,"1990-94"
"Costa Rica",188,1,6.329721,6.916715,7.843456,7.410347,"1995-99"
"Cyprus",196,2,1.609438,1.386294,2.197225,2.197225,"1960-64"
"Cyprus",196,2,4.110874,4.477337,3.610918,3.610918,"1965-69"
"Cyprus",196,2,4.110874,4.75359,4.174387,3.610918,"1970-74"
"Cyprus",196,2,4.043051,4.727388,4.442651,3.367296,"1975-79"
"Cyprus",196,2,0,3.367296,5.638355,4.043051,"1980-84"
"Cyprus",196,2,4.043051,0,6.224558,4.727388,"1985-89"
"Cyprus",196,2,4.727388,0,6.552508,5.733341,"1990-94"
"Cyprus",196,2,5.53339,5.283204,7.046647,7.30317,"1995-99"
"Ecuador",218,1,0,.6931472,1.791759,.6931472,"1960-64"
"Ecuador",218,1,0,.6931472,3.526361,3.401197,"1965-69"
"Ecuador",218,1,3.367296,4.060443,5.438079,5.537334,"1970-74"
"Ecuador",218,1,3.367296,4.043051,5.820083,5.733341,"1975-79"
"Ecuador",218,1,4.043051,4.043051,6.042633,5.97381,"1980-84"
"Ecuador",218,1,4.94876,5.53339,6.591674,6.424869,"1985-89"
"Ecuador",218,1,6.167517,6.378426,7.358194,7.26473,"1990-94"
"Ecuador",218,1,6.224558,6.511745,7.459915,7.410347,"1995-99"
"Finland",246,2,0,.6931472,1.098612,0,"1960-64"
"Finland",246,2,0,4.955827,6.918695,4.94876,"1965-69"
"Finland",246,2,6.042633,6.470799,7.844241,6.944087,"1970-74"
"Finland",246,2,6.859615,7.070724,8.426174,7.821242,"1975-79"
"Finland",246,2,7.244942,7.410347,8.688959,8.33639,"1980-84"
"Finland",246,2,7.427144,7.663408,9.155356,8.615589,"1985-89"
"Finland",246,2,7.636752,7.609366,9.474319,8.674709,"1990-94"
"Finland",246,2,7.751475,7.609366,9.715772,8.82129,"1995-99"
"France",250,2,1.609438,2.397895,3.688879,3.178054,"1960-64"
"France",250,2,1.609438,3.663562,6.60665,5.886104,"1965-69"
"France",250,2,5.831882,5.332719,7.291656,6.939254,"1970-74"
"France",250,2,6.799056,6.329721,7.99598,7.459915,"1975-79"
"France",250,2,7.595387,7.375882,8.450412,8.068716,"1980-84"
"France",250,2,8.288283,8.103191,9.215627,8.615589,"1985-89"
"France",250,2,8.833609,8.645586,9.790599,9.432604,"1990-94"
"France",250,2,8.881419,8.804626,10.00175,9.540867,"1995-99"
"Germany",276,2,0,.6931472,3.89182,0,"1960-64"
"Germany",276,2,3.367296,.6931472,6.456769,5.129899,"1965-69"
"Germany",276,2,5.283204,5.135798,7.388328,6.511745,"1970-74"
"Germany",276,2,6.46925,5.97381,7.947679,6.799056,"1975-79"
"Germany",276,2,6.591674,6.329721,8.111629,6.888573,"1980-84"
"Germany",276,2,6.859615,6.378426,8.259717,7.552238,"1985-89"
